"","x"
"1",0.62713748365723
"2",0.695211516339256
"3",0.678406302025514
"4",0.6788273712447
"5",0.667373695924149
"6",0.793751949357791
"7",0.793751949357791
"8",0.793751949357791
"9",0.793751949357791
"10",0.793751949357791
"11",0.793751949357791
"12",0.692507798113832
"13",0.674306054003135
"14",0.678057293275293
"15",0.738008700621989
"16",0.626254098584448
"17",0.696548302369053
"18",0.677276469365442
"19",0.678831091510834
"20",0.666920854553103
"21",0.789843479295502
"22",0.789843479295502
"23",0.789843479295502
"24",0.789843479295502
"25",0.789843479295502
"26",0.789843479295502
"27",0.67163002354947
"28",0.645403461443977
"29",0.659324481828533
"30",0.734877678765957
