"","x"
"1",0.23199525839452
"2",0.282843879691938
"3",0.221932308486482
"4",0.278922950390855
"5",0.218675721341114
"6",0.192608856803501
"7",0.192608856803501
"8",0.192608856803501
"9",0.192608856803501
"10",0.210293545208696
"11",1.43178865723497
"12",0.191885106576964
"13",0.191885106576964
"14",0.191885106576964
"15",0.250107339488894
"16",0.225622208070147
"17",0.282091326552395
"18",0.217506291656819
"19",0.273227548199827
"20",0.210392114021189
"21",0.174796773940832
"22",0.174796773940832
"23",0.174796773940832
"24",0.174796773940832
"25",0.174796773940832
"26",0.174796773940832
"27",0.174796773940832
"28",0.174796773940832
"29",0.174796773940832
"30",0.174796773940832
