"","x"
"1",0.0969700173027447
"2",0.172162290245219
"3",0.169190612600695
"4",0.177401068485821
"5",0.0790864689382562
"6",0.0975482481166919
"7",0.0975482481166919
"8",0.0975482481166919
"9",0.0975482481166919
"10",0.0975482481166919
"11",0.0975482481166919
"12",0.100064189750471
"13",0.0993410221883605
"14",0.157446260907078
"15",0.157446260907078
"16",0.0892759033248233
"17",0.175466684754155
"18",0.167656339315841
"19",0.176898588951882
"20",0.0786784310510503
"21",0.0592007607304861
"22",0.0592007607304861
"23",0.0592007607304861
"24",0.0592007607304861
"25",0.0592007607304861
"26",0.0592007607304861
"27",0.0592007607304861
"28",0.0592007607304861
"29",0.0592007607304861
"30",0.0592007607304861
