"","x"
"1",0.115770647627842
"2",0.18211926437409
"3",0.117523505761209
"4",0.193228388024913
"5",0.0875869588429315
"6",0.137804406125514
"7",0.137804406125514
"8",0.137804406125514
"9",0.137804406125514
"10",0.137804406125514
"11",0.228725970521686
"12",0.133853911616349
"13",0.133762746965033
"14",0.133762746965033
"15",0.200915742199548
"16",0.108282301219015
"17",0.179975361112139
"18",0.109958745279629
"19",0.189797802906433
"20",0.0817148486445831
"21",0.111489178999865
"22",0.111489178999865
"23",0.111489178999865
"24",0.111489178999865
"25",0.111489178999865
"26",0.114824386625999
"27",0.111489178999865
"28",0.111489178999865
"29",0.111489178999865
"30",0.255968690885338
