"","x"
"1",0.148569280943509
"2",0.188873081687188
"3",0.133450207148198
"4",0.184814273353091
"5",0.107942889508132
"6",0.0762399647935187
"7",0.0762399647935187
"8",0.0762399647935187
"9",0.0746127138486966
"10",0.0735960055169544
"11",0.122876996782353
"12",0.0775525019232812
"13",0.0881483228752948
"14",0.205843436985451
"15",0.205843436985451
"16",0.144526626114341
"17",0.193135717372003
"18",0.127812233555315
"19",0.182433964871064
"20",0.107380152489411
"21",0.0130258820091355
"22",0.0130258820091355
"23",0.0130258820091355
"24",0.0130258820091355
"25",0.0130258820091355
"26",0.0130258820091355
"27",0.0130258820091355
"28",0.0130258820091355
"29",0.0130258820091355
"30",0.0130258820091355
