"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
1711,14,7,51,1,6,0,1,2,3,8,2,1,11,2,4,4,1,1,1,1,6,0,1,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,1,2,2,2,1,4,1,4,3,2,2,-2,2,4,1,4,1,2,1,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,100,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,80,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,43,-4,14,0,50,40,80,7,41,-4,17,1,40,40,183,100,100,87,1,144,1,50,80,87,13,1,40,9,2,2,3,3,6,5,18000,1,13
1712,16,2,50,1,6,0,1,2,3,8,2,1,11,2,4,4,1,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,2,1,2,3,2,1,2,1,2,1,2,1,2,1,2,3,2,1,2,2,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,200,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,46,-4,12,1,40,90,200,7,49,-4,12,0,52,20,903,200,200,14,9,96,1,40,200,14,12,1,52,-4,-4,-4,-4,-4,-4,-4,-4,6,12
1713,15,12,50,1,6,0,1,2,3,8,3,1,11,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,3,3,2,2,1,4,1,4,3,1,3,4,3,4,1,2,1,3,1,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,25,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,1,200,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,52,-4,13,0,52,60,200,7,39,-4,16,1,0,-4,-4,25,25,14,9,120,1,52,200,14,12,0,0,15,2,3,4,5,9,7,800,1,16
1714,14,1,52,1,6,0,0,3,1,8,5,1,11,2,4,4,1,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-4,3,3,2,1,-2,-4,-2,-4,3,2,2,2,2,4,1,4,1,2,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,50,0,0,0,0,0,0,0,0,1,-4,-4,-4,1,3,1,1,1,1,1,1,1,1,2,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,40,-4,12,1,50,68,290,7,39,-4,12,1,0,-4,-4,50,50,68,2,119,1,50,290,68,12,0,0,-4,-4,-4,-4,-4,-4,-4,192,1,14
1715,15,1,49,1,6,0,0,3,1,8,5,1,11,2,4,4,1,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,3,2,2,1,4,1,3,2,2,2,4,3,4,1,2,1,3,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,260,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,290,1,0,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,13,67,-4,12,0,0,-4,-4,6,49,-4,12,1,52,39,270,260,260,68,2,118,1,52,270,66,12,-4,-4,3,1,2,2,3,5,5,9600,1,12
1716,22,2,44,1,1,0,0,3,1,8,5,1,11,2,4,4,1,1,0,2,6,1,1,1,-4,2,1,15,2,14,14,-4,-4,350,1,4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,995,1,2,3,2,2,2,-2,-4,1,2,3,2,-2,-4,3,4,1,4,1,2,1,2,1,1,1,1,1,1,2,1,2,-4,1,-4,2,1,12000,12000,0,250,0,0,0,0,63,850,500,2,1,7,1,1,3,1,2,1,1,1,1,1,1,3,1,465,-4,1,1,4,1,9,1,4,0,-4,7,1,1,1,20,0,-4,-4,0,-4,-4,2,0,-4,-4,-4,-4,-4,-4,-250,-250,33,5,92,1,52,465,33,9,0,0,4,1,1,2,2,3,4,320,1,13
1717,17,5,48,1,6,0,0,3,1,7,5,1,35,2,2,1,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,2,2,2,-2,-4,1,2,3,2,1,3,3,4,1,4,1,3,1,2,1,2,1,1,1,1,2,1,1,0,0,1,1,-4,0,0,50,0,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,45,-4,14,1,50,40,290,7,44,-4,12,1,40,16,394,50,50,68,2,127,1,50,290,68,14,1,40,4,2,3,3,4,7,6,14000,1,17
1718,23,4,43,1,1,0,0,3,1,8,5,2,35,2,2,1,4,4,0,1,6,0,-4,-4,-4,1,1,8,1,3,22,15,14,550,5,4,-4,-4,2,4,-4,-4,-4,-4,-4,-4,-4,180,1,2,3,2,2,2,1,4,1,2,3,1,2,4,2,3,1,2,1,4,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,50,0,0,0,0,0,62,500,3200,2,1,7,1,4,1,1,2,1,1,4,4,4,1,3,1,430,1,1,1,4,-4,-4,-4,4,-4,-4,-4,-4,1,1,23,-4,12,1,0,-4,-4,2,3,-4,-4,-4,-4,-4,-4,-3150,-3150,49,5,-4,-4,-4,-4,-4,-4,-4,-4,4,2,3,4,5,10,8,15000,1,16
1719,22,7,43,1,1,0,0,3,1,8,5,2,35,2,2,1,4,4,0,2,6,0,1,1,2,-4,1,5,23,14,14,22,-4,125,3,-4,150,3,-4,4,-4,-4,-4,-4,-4,-4,-4,195,1,3,3,2,2,2,1,4,1,2,3,2,2,4,3,4,1,2,1,4,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,2,2,0,0,400,0,0,0,0,0,61,0,1000,2,2,6,1,2,3,1,2,1,1,1,1,3,3,3,1,290,1,1,1,4,1,8,1,4,0,-4,12,1,1,1,23,0,12,1,8,30,310,2,3,-4,-4,-4,-4,-4,-4,-600,-600,68,2,113,1,52,995,-4,8,0,0,10,2,3,4,5,9,7,18000,1,12
1720,15,11,50,1,6,0,0,3,1,8,5,1,35,2,2,1,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,-2,-4,3,2,2,3,3,4,1,4,1,3,1,2,2,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,3,1,715,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,46,-4,8,1,3,50,715,7,36,-4,8,1,4,40,705,0,0,15,6,81,1,3,715,15,8,1,4,0,-5,-5,-5,-5,-5,-5,1000,1,12
