"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
1,18,3,48,2,6,0,1,1,2,4,1,2,27,1,4,4,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,1,3,3,1,2,4,3,4,1,2,1,4,2,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,500,25,0,0,0,0,0,0,125,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,6,5,-4,1,1,1,3,-4,-4,-4,1,-4,-4,-4,-4,0,7,35,-4,11,1,52,40,775,10,15,1,10,0,-4,-4,-4,400,400,-4,-4,-4,-4,-4,-4,-4,-4,1,52,3,2,2,3,4,7,6,-5,-5,-5
2,19,7,45,2,6,0,1,1,2,4,1,2,27,1,4,4,4,4,0,2,6,1,-4,-4,-4,-4,2,14,2,16,9,-4,-4,200,1,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,775,2,4,1,4,2,2,3,4,2,4,3,2,-2,-4,1,4,-2,-4,3,2,2,2,1,1,1,1,2,2,1,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,1,-4,1,4,1,3,1,1,1,1,1,1,1,1,1,200,0,1,0,4,1,-4,-4,2,-4,-4,-4,-4,1,13,35,-4,-4,-4,52,40,775,10,28,-4,10,1,52,40,693,0,0,14,9,74,1,52,775,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,219,1,7
3,17,1,49,1,6,0,1,1,2,4,1,1,27,1,4,4,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,2,2,1,1,4,1,2,3,1,2,3,2,4,1,4,1,3,1,2,1,1,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,62,300,0,1,-4,-4,1,1,3,1,1,4,1,4,4,4,4,5,1,653,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,60,-4,8,1,52,40,653,7,52,-4,8,1,52,20,394,0,0,22,6,103,1,52,653,22,8,1,52,3,1,1,2,2,4,4,10000,1,12
4,24,2,42,1,1,0,1,1,2,4,1,2,27,1,4,4,4,4,0,2,3,-4,1,1,2,-4,1,1,4,-4,25,-4,-4,-4,-4,3,-4,-4,3,6,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,1,-2,-4,1,3,3,1,2,4,3,4,1,3,1,2,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,2,2,0,0,1000,100,300,0,0,0,65,0,100,2,1,7,1,3,3,1,2,1,1,1,1,1,2,4,1,510,1,1,1,4,1,14,1,4,1,1,12,1,1,1,23,0,10,1,0,-4,-4,2,1,-4,-4,-4,-4,-4,-4,1300,1300,34,5,119,1,52,510,34,14,1,52,1,2,2,3,3,6,5,18000,1,12
5,17,3,49,1,6,0,1,1,2,4,1,1,19,1,1,2,3,1,0,2,6,0,1,1,3,-4,2,4,21,8,14,-4,-4,-4,-4,3,100,3,-4,4,-4,-4,-4,-4,-4,-4,-4,472,1,2,3,3,1,2,1,3,2,2,1,1,2,2,1,4,1,4,1,3,1,2,2,2,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,150,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,3,3,5,1,450,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,46,-4,11,1,52,40,450,7,47,-4,12,1,52,60,290,150,150,41,5,110,1,52,450,41,11,1,52,1,1,1,1,2,3,4,100,1,11
6,24,5,41,1,1,0,1,1,2,4,1,2,19,1,1,2,3,1,0,2,4,-4,1,1,1,-4,1,21,8,-4,22,-4,-4,110,3,-4,130,3,-4,4,-4,-4,-4,-4,-4,-4,-4,370,2,2,3,2,2,2,1,3,1,2,3,2,2,3,2,4,1,4,1,2,1,2,1,2,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,200,0,0,0,0,0,0,0,550,2,0,-4,1,1,3,1,2,1,1,1,1,1,1,2,1,985,0,1,0,4,1,8,1,4,0,-4,7,1,0,1,23,0,10,0,-4,-4,-4,2,1,-4,-4,-4,-4,-4,-4,-350,-350,7,11,72,1,52,465,33,8,0,0,1,2,3,3,4,7,6,277,1,12
7,16,4,49,1,6,0,1,1,2,4,1,2,19,1,1,2,3,1,1,1,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,3,2,2,2,3,2,1,2,3,1,2,2,2,4,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,51,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,6,1,414,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,47,-4,9,1,52,38,414,7,41,-4,12,1,-4,-4,-4,0,0,52,5,114,1,52,414,52,9,0,0,1,1,1,1,1,2,3,200,1,12
8,23,1,43,1,6,0,1,2,2,8,1,1,19,1,1,2,3,1,0,1,6,0,1,1,-4,1,1,1,3,3,8,8,6,6000,6,-4,6500,6,-4,4,-4,-4,-4,-4,-4,-4,-4,191,1,2,3,2,2,2,-2,-4,1,3,3,2,2,4,3,3,1,3,1,4,1,2,1,1,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,700,0,300,0,0,0,65,1800,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,14,1,52,50,290,7,47,-4,14,1,52,30,184,1000,1000,68,2,132,1,52,290,68,14,1,52,7,2,3,4,5,9,7,14700,1,18
9,19,12,46,1,6,0,1,2,2,8,1,1,19,1,1,2,3,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,2,-2,-4,1,2,3,1,2,4,3,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,997,0,0,0,0,0,56,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,14,1,52,50,290,7,47,-4,14,1,52,30,184,997,997,68,2,136,1,52,290,68,14,1,52,7,2,3,3,4,7,6,1000,1,14
10,18,3,48,1,6,0,1,2,2,8,5,1,19,1,1,2,3,1,0,2,6,0,1,1,2,-4,2,8,14,15,9,-4,-4,175,1,-4,250,1,-4,4,-4,-4,-4,-4,-4,-4,-4,465,2,1,3,2,2,2,1,2,1,2,3,2,2,2,2,4,1,4,1,2,1,2,1,1,1,1,1,1,2,0,2,-4,1,-4,1,-4,0,0,0,0,0,0,0,0,66,2900,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,411,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,43,-4,12,1,52,40,411,7,42,-4,12,1,52,40,775,0,0,19,5,102,1,52,411,19,12,1,52,8,1,2,2,2,4,5,170,4,12
11,19,3,47,1,6,0,1,2,2,8,5,1,19,1,1,2,3,1,0,2,6,1,1,1,2,-4,2,14,1,-4,9,-4,-4,-4,-4,3,-4,-4,3,5,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,2,1,1,3,1,4,3,2,2,2,3,3,1,4,1,4,1,1,1,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,-4,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,43,-4,12,1,52,40,-4,7,42,-4,12,1,52,40,775,0,0,-4,-4,119,1,52,995,-4,12,1,52,8,1,2,2,3,5,5,515,1,12
12,18,6,47,1,6,0,1,1,2,5,1,1,21,1,2,1,1,1,0,2,6,1,4,1,2,-4,2,-4,-4,-4,-4,-4,-4,130,1,-4,130,1,-4,4,-4,-4,-4,-4,-4,-4,-4,995,1,2,1,-2,2,-2,3,-2,1,2,3,2,-2,-4,1,2,-2,-4,1,2,1,2,1,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,0,-4,1,4,1,1,1,1,1,1,1,1,1,5,1,985,0,1,0,4,-4,11,1,4,0,-4,12,1,-4,11,22,0,9,1,52,40,495,13,22,0,12,1,26,40,370,0,0,7,11,93,-2,-2,-4,-4,11,0,0,15,1,1,1,1,2,3,180,1,9
13,16,12,49,1,6,0,1,1,3,5,1,1,21,1,2,1,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,3,3,3,2,2,3,2,2,2,3,3,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,-4,1,3,1,1,1,1,1,1,1,1,5,1,985,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,13,21,0,8,1,16,40,775,13,0,-4,-4,-4,-4,-4,-4,0,0,7,11,94,1,24,985,7,11,0,0,1,1,1,1,2,3,4,-4,1,12
14,14,10,51,1,6,0,1,1,3,5,1,1,21,1,2,1,1,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,2,2,2,1,4,-2,-4,3,2,-2,-4,1,4,1,4,2,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,5,1,985,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,49,-4,11,1,24,40,985,7,49,-4,7,0,0,-4,-4,0,0,7,11,94,1,24,985,7,11,0,0,1,1,1,2,2,4,4,417,1,11
15,20,7,45,1,1,0,1,1,3,5,1,1,21,1,2,1,1,1,0,2,6,1,1,1,4,-4,1,14,16,-4,25,-4,-4,250,1,4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,995,1,1,1,2,2,2,1,1,1,3,2,1,2,1,2,4,1,4,1,3,2,2,2,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,380,1,-4,-4,1,1,3,1,4,1,1,1,1,1,1,5,1,985,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,1,21,0,8,1,16,40,775,13,0,-4,-4,-4,-4,-4,-4,-380,-380,7,11,86,1,24,985,7,11,0,0,1,1,1,1,1,1,2,200,1,11
16,21,10,44,2,6,0,1,1,6,5,1,2,21,1,2,1,1,1,0,1,6,0,2,1,-4,1,1,4,1,18,25,-4,-4,-4,-4,3,-4,-4,3,6,-4,-4,-4,-4,-4,-4,-4,-4,2,2,3,2,2,1,1,4,1,2,3,1,2,4,3,3,1,2,1,4,1,2,2,2,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,200,0,0,0,0,0,66,3400,200,1,-4,-4,1,2,1,2,1,1,1,1,1,-4,1,5,5,804,1,1,1,2,-4,-4,-4,4,1,1,8,1,1,6,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,7,7,89,0,0,-4,-4,-4,1,51,1,2,3,4,5,9,7,1935,1,16
17,14,2,52,1,6,0,1,2,3,8,3,1,21,1,2,1,1,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,3,2,2,1,4,1,4,3,1,2,3,3,4,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,-4,0,0,-2,-2,-2,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,1,1,200,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,39,-4,15,1,52,54,200,7,36,-4,12,1,0,-4,-4,-2,0,14,9,116,1,52,200,14,15,0,0,-4,-4,-4,-4,-4,-4,-4,300,6,14
18,24,9,41,1,1,0,1,1,2,4,1,1,15,1,2,1,1,1,0,2,6,0,1,0,2,-4,1,8,1,17,22,9,-4,250,1,4,400,1,-4,4,-4,-4,-4,-4,-4,-4,-4,421,2,2,3,2,2,1,1,3,1,2,3,2,2,3,2,3,1,3,1,3,1,2,1,2,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,0,125,0,0,0,0,63,0,0,2,2,-4,1,1,3,1,2,1,1,1,1,1,1,2,1,465,1,1,0,4,1,7,1,4,1,0,12,1,1,8,62,-4,-4,-4,0,-4,-4,8,54,-4,4,1,0,-4,-4,125,125,33,5,95,1,52,465,33,7,1,26,1,2,2,3,3,6,5,-4,1,11
19,24,3,42,1,1,0,1,2,2,4,1,1,15,1,2,1,1,1,0,2,6,1,1,1,1,-4,3,14,8,-4,8,1,-4,225,1,-4,300,1,-4,4,-4,-4,-4,-4,-4,-4,-4,370,1,1,3,1,2,1,-2,-4,1,2,3,1,2,3,-2,-4,1,4,1,4,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,2,1,5000,3000,100,0,0,3,5000,0,57,0,0,2,1,7,1,1,3,1,2,1,1,1,1,1,1,3,1,290,1,1,1,4,0,12,1,4,0,-4,8,1,1,1,22,0,15,1,8,20,192,2,1,-4,-4,-4,-4,-4,-4,7100,7100,68,2,113,1,35,495,16,12,0,0,2,1,1,2,2,4,4,8100,1,12
20,19,4,46,1,6,0,1,2,2,4,1,2,15,1,2,1,1,1,0,2,6,0,1,1,-4,3,2,2,18,1,8,22,-4,5700,6,-4,6500,6,4,4,-4,-4,-4,-4,-4,-4,-4,190,1,2,3,1,2,3,-2,-4,1,3,3,2,2,3,-2,-4,1,3,1,3,2,2,1,2,2,1,1,1,2,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,4,2,4,4,3,5,875,0,1,1,2,-4,-4,-4,1,-4,-4,-4,-4,0,13,65,-4,2,1,52,40,705,7,42,-4,12,1,52,40,875,0,0,16,8,101,-4,-4,-4,-4,-4,1,52,2,1,2,2,3,5,5,13000,1,14
21,24,7,41,1,6,0,1,2,2,4,1,1,15,1,2,1,1,1,0,2,3,-4,1,1,1,-4,2,2,9,22,14,15,-4,233,1,1,375,1,4,4,-4,-4,-4,-4,-4,-4,-4,995,1,2,3,2,2,2,1,3,1,3,3,2,2,4,3,3,1,2,1,4,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,1200,0,0,0,0,0,54,0,0,1,-4,-4,1,1,3,1,1,1,1,3,3,3,3,3,1,775,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,53,-4,10,0,0,-4,-4,7,49,-4,12,1,52,40,643,1200,1200,18,6,105,0,0,-4,-4,9,1,52,4,1,2,2,2,4,4,-5,-5,-5
22,16,3,50,1,6,0,1,2,2,8,5,1,15,1,2,1,1,1,0,2,6,0,1,1,4,-4,1,2,6,18,8,-4,-4,69,3,-4,89,3,-4,4,-4,-4,-4,-4,-4,-4,-4,775,1,-2,2,1,2,-2,2,-2,1,2,3,2,-2,-4,1,4,1,4,3,2,2,2,2,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,55,0,0,1,-4,-4,1,1,3,1,1,1,1,4,4,4,4,3,1,631,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,52,-4,8,1,52,40,480,7,45,-4,8,1,15,40,830,0,0,17,6,87,1,52,480,27,8,1,15,13,1,1,2,2,3,4,575,6,10
23,22,4,43,1,6,0,1,2,2,8,5,1,15,1,2,1,1,1,0,2,2,-4,1,1,2,-4,1,18,3,1,14,22,15,210,1,1,375,1,4,4,-4,-4,-4,-4,-4,-4,-4,775,1,1,3,2,2,1,1,4,1,3,3,1,2,4,3,4,1,4,1,2,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,125,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,4,1,4,4,4,3,1,411,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,51,-4,6,1,38,40,-4,1,53,-4,8,1,0,-4,-4,125,125,19,5,72,1,38,995,-4,6,-4,-4,4,1,1,1,2,3,4,435,6,-4
24,17,6,48,1,6,0,1,2,2,8,5,1,15,1,2,1,1,1,0,2,6,0,1,1,4,-4,2,9,17,6,22,12,-4,140,1,-4,-4,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,995,1,-2,1,2,2,1,-2,-4,1,2,3,2,-2,-4,3,4,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,62,500,0,1,-4,-4,1,1,3,2,1,1,1,4,4,4,4,5,1,995,0,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,57,-4,8,1,0,-4,-4,11,32,-4,12,1,52,40,310,0,0,-4,-4,82,-4,-4,-4,-4,-4,0,0,4,1,1,1,1,2,3,-4,1,10
25,22,4,43,1,6,0,1,2,2,8,5,1,15,1,2,1,1,1,0,2,2,-4,1,1,2,-4,1,4,4,15,22,15,-4,225,1,-4,238,1,-4,4,-4,-4,-4,-4,-4,-4,-4,465,1,2,3,2,2,2,-2,-4,1,2,3,2,-2,-4,3,4,1,3,2,2,1,1,1,1,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,600,300,0,0,0,0,60,200,150,1,-4,-4,1,1,3,1,1,1,1,4,4,4,4,3,1,425,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,49,-4,8,1,0,-4,-4,7,52,-4,8,1,0,-4,-4,750,750,24,5,84,0,0,-4,-4,8,0,0,4,1,1,1,2,3,4,13500,1,12
26,22,4,43,1,6,0,1,1,3,3,1,1,12,1,1,1,3,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,-2,-4,1,3,3,2,2,4,3,2,1,3,1,4,1,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,3000,350,2500,0,0,0,64,0,0,1,-4,-4,1,1,3,1,1,1,1,3,1,1,1,6,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,60,-4,12,1,45,30,393,7,55,-4,14,0,0,-4,-4,5850,5850,68,2,136,1,45,393,62,12,0,0,0,-4,-4,-4,-4,-4,-4,27000,1,18
27,19,11,46,1,6,0,1,1,3,4,1,1,17,1,1,1,3,1,1,1,1,-4,4,1,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,1,3,2,1,2,3,1,2,4,-2,-4,1,2,1,4,1,2,2,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,6600,1,-4,-4,1,-4,1,1,1,1,1,2,2,1,1,3,1,60,0,1,1,1,-4,-4,-4,2,-4,-4,-4,-4,1,6,50,-4,18,1,52,40,184,7,31,-4,16,1,0,-4,-4,-6600,-6600,84,1,142,1,52,184,72,18,0,0,4,2,3,4,5,10,9,-5,-5,-5
28,17,9,48,1,6,0,1,1,2,4,1,1,17,1,1,1,3,1,1,1,6,0,1,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,2,3,2,1,4,1,3,-2,-4,2,4,1,4,1,3,1,4,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,200,-4,-4,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,2,2,1,1,6,1,465,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,47,-4,11,1,52,52,465,7,44,-4,17,1,40,40,150,-4,200,33,5,126,1,52,465,33,11,1,40,1,2,2,3,3,6,5,-5,-5,-5
29,24,12,41,1,1,0,1,1,2,4,1,2,17,1,1,1,3,1,1,1,3,-4,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,2,3,2,1,3,3,1,2,4,3,3,1,3,1,4,1,2,1,2,1,1,1,1,2,0,1,0,0,0,2,2,0,0,200,0,0,0,0,0,0,0,0,2,0,-4,1,1,3,2,2,1,1,2,2,1,2,6,1,775,0,1,1,2,-4,-4,-4,4,1,1,8,1,1,1,24,-4,16,1,52,30,182,-4,-4,-4,-4,-4,-4,-4,-4,200,200,18,6,105,-4,-4,-4,-4,-4,1,52,1,2,3,4,5,9,7,15000,1,18
30,22,4,44,1,6,0,1,2,2,4,1,1,17,1,1,1,3,1,1,1,6,0,1,1,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,3,1,3,3,1,2,4,-2,-4,1,3,1,4,1,2,2,1,1,1,1,2,2,0,1,1,-4,-4,1,-4,0,0,1500,0,0,0,0,0,65,0,0,1,-4,-4,1,1,3,1,1,2,1,2,2,3,3,3,1,200,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,60,-4,5,1,52,50,200,7,51,-4,14,1,30,15,394,1500,1500,14,9,116,1,52,200,14,5,1,30,1,2,3,3,4,8,6,17000,1,15
31,18,1,48,1,6,0,1,1,3,3,1,1,15,1,4,4,3,1,1,1,6,1,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,1,3,3,1,3,3,1,2,4,3,4,1,4,1,3,1,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,5,0,0,0,0,0,0,0,200,1,-4,-4,1,1,3,1,1,1,1,1,2,1,1,6,1,93,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,44,-4,14,1,52,40,93,7,40,-4,12,1,46,30,312,-195,-195,87,1,134,1,52,93,87,14,1,46,-5,-5,-5,-5,-5,-5,-5,-4,1,12
32,22,12,43,1,1,0,1,1,3,3,1,2,15,1,4,4,3,1,0,2,6,0,1,1,2,-4,1,3,15,9,8,-4,-4,298,4,4,-4,-4,2,4,-4,-4,-4,-4,-4,-4,-4,325,-2,-4,3,2,2,2,3,2,1,2,3,2,2,4,3,4,1,2,1,4,2,2,1,1,1,1,1,1,-2,0,2,-4,1,-4,2,2,0,0,700,50,0,0,0,0,64,1500,550,2,1,7,1,1,3,1,2,1,1,1,1,1,1,6,1,394,1,1,1,4,1,12,0,4,1,0,12,1,1,1,20,0,12,1,13,38,320,2,0,-4,-4,-4,-4,-4,-4,200,200,47,4,117,1,52,154,84,11,1,8,2,1,2,2,2,4,4,1200,1,12
33,22,7,43,1,1,0,1,1,3,3,1,1,15,1,4,4,3,1,0,2,4,-4,1,1,-4,1,1,7,1,14,6,-4,-4,450,1,-4,450,1,4,4,-4,-4,-4,-4,-4,-4,-4,84,1,2,3,2,2,2,3,3,1,2,3,1,2,2,3,3,1,4,1,4,2,2,1,2,1,1,1,1,2,1,2,-4,0,0,2,1,18000,10000,500,0,600,0,0,0,63,1100,0,2,2,7,1,1,3,1,2,1,1,1,1,1,1,4,1,775,1,1,1,4,1,12,1,4,1,0,12,1,1,1,21,0,12,1,0,-4,-4,2,3,-4,-4,-4,-4,-4,-4,9100,9100,18,6,112,1,52,430,49,12,1,25,15,2,3,4,5,9,7,-5,-5,-5
34,15,6,50,1,6,0,1,2,3,3,1,1,15,1,4,4,3,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,1,2,2,3,1,4,1,4,3,2,2,3,2,4,1,3,1,2,1,2,1,2,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,3,3,3,3,5,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,44,-4,9,0,52,44,290,7,39,-4,12,1,0,-4,-4,0,0,68,2,115,1,52,290,68,8,0,0,1,1,2,2,2,4,4,-4,6,14
35,24,4,41,1,1,0,1,2,3,3,1,2,15,1,4,4,3,1,1,1,6,0,3,0,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,1,3,3,1,3,3,1,2,4,3,4,1,3,1,3,1,2,2,2,1,1,1,1,1,1,1,0,0,0,2,2,0,0,500,300,0,0,0,0,63,0,0,2,1,7,1,3,2,1,2,1,1,1,1,1,1,3,1,270,1,1,1,4,-4,14,1,4,0,-4,13,1,1,1,20,0,12,1,-4,-4,-4,2,0,-4,-4,-4,-4,-4,-4,800,800,66,2,131,-2,-2,-4,-4,14,0,0,1,2,3,4,5,10,9,1400,1,18
36,16,11,49,1,6,0,1,2,3,8,5,2,15,1,4,4,3,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,2,2,2,2,-2,-4,2,4,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,2,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,45,-4,7,1,52,55,290,7,47,-4,12,1,52,40,310,0,0,68,2,113,1,52,290,68,7,1,52,-4,-4,-4,-4,-4,-4,-4,120,6,12
