"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"2","-0.0135662","-0.014745","-0.0150345","-0.0129066","0.0895712","-0.0149077","-0.0129424","-0.0134474","-0.00813363","-0.0138876","0.0945871","-0.0146422","-0.0147014","-0.0145298","-0.0134381","-0.0125508","0.0792168","-0.00813135","-0.0133813","-0.0149244","-0.0141512","0.0607733","-0.00883202","-0.0136392","-0.0134137","-0.0131419","0.0670259","-0.0134333","-0.014859","-0.00957291","-0.0126696","-0.0160521","-0.0142868","-0.014465","-0.0145824","-0.0103176","0.0214019","0.039175","-0.0147189","-0.0138651","-0.0140096","-0.0144226","-0.0149193","0.00225703","-0.0135413","-0.0145564","-0.00879223","-0.0136388","-0.013231","-0.0137315","-0.014858","-0.013476","-0.0144795","-0.0121141","-0.011886","-0.0147014","-0.0146438","-0.00667255","-0.00730343","-0.00925295","-0.0140433","-0.0137983","-0.0140666","0.0581989","-0.0157361","-0.0132689","-0.013212","-0.0126976","-0.0140442","-0.0138532","-0.0136265","-0.0142822","-0.0137737","-0.00968897","-0.0136572","-0.012546","-0.0142321"
"3","-0.00361012","-0.00520544","-0.00756215","-0.00771276","-0.00983448","-0.00488242","-0.00656721","-0.00752993","0.00795172","-0.00362984","-0.0131559","-0.00787299","-0.00407923","-0.0101237","-0.00577159","-0.00814335","-0.00703031","0.0049493","-0.00291274","-0.00858647","-0.0071251","-0.0115231","-0.00267138","-0.00463286","-0.0054221","-0.00464545","-0.0111206","-0.00389129","-0.00850888","-0.00334883","-0.00203479","-0.00410433","-0.00570589","-0.00343259","-0.00280661","-0.00159767","0.277794","-0.00954323","-0.00866271","-0.00357561","-0.00293339","-0.000906469","-0.0036669","0.00186067","-0.00529342","-0.00493841","-0.00133907","0.00758569","-0.00157861","0.000459489","-0.00536211","-0.00595356","-0.00571126","-0.00299004","-0.000404566","-0.0080697","-0.00353137","0.00284846","0.00268043","-0.00597463","-0.00466451","-0.000130102","-0.00518575","-0.0153312","-0.00637231","-0.00192851","-0.00542424","-0.00124717","-0.00612483","-0.000803156","-0.00615702","-0.00499228","-0.00401356","-0.00282371","-0.00197539","-0.00516946","-0.00591523"
"4","-0.0322356","-0.0260947","-0.00720955","-0.0200526","0.00393719","-0.02323","0.011624","-0.0197503","0.107851","-0.0133352","-0.000389509","-0.0162036","0.00316847","-0.0162168","0.0141215","-0.00756637","-0.00686746","0.103744","-0.0174676","-0.0192317","-0.00739973","-0.0118776","-0.0162583","0.0042923","-0.00960686","-0.0124905","-0.0242328","0.0263976","-0.0178617","0.0616602","0.0310479","-0.0367072","-0.0122292","-0.0255223","0.0012073","0.0655114","0.00601511","-0.000185783","-0.0344167","0.00643003","0.00736105","-0.0154713","-0.0126362","-0.0172044","-0.0144377","-0.015951","0.129106","-0.0367653","-0.0250826","-0.0186924","-0.0140378","-0.00599629","-0.00475123","-0.00423891","0.0441574","-0.0282512","-0.00961464","0.16247","0.135668","0.0406799","-0.0111592","-0.0313671","-0.000529178","-0.00400013","-0.0040166","-0.0104598","-0.0280268","-0.0131487","-0.0238015","-0.0212249","-0.00321869","-0.00424031","-0.0213315","0.00277448","-0.00677307","8.00385e-05","0.00511643"
"5","0.012625","0.0116566","0.00354191","-8.4384e-05","0.0041434","-0.00278829","0.0134915","0.0080649","-0.0145724","-0.00142766","0.00339441","0.00385638","0.0061113","0.00184819","0.00595579","-0.00264772","-0.0123183","-0.0155098","0.00950532","0.0161003","-0.00945813","0.0101412","0.00572179","-0.00485878","-0.00884223","-0.000873584","0.0157862","-0.00550078","0.00947224","-0.00663264","0.00373449","0.0052235","0.00207683","0.0101327","-0.00400032","-0.00511507","0.144717","0.00670562","-0.00251218","-0.00180044","-0.00849011","0.0106503","0.0114852","0.032096","-0.0010722","-0.00333543","-0.01289","0.0209875","0.00471651","0.0141494","-0.00190517","-0.00119783","0.00609938","-0.00564532","-0.00429333","0.0104526","0.00115735","-0.0190317","-0.0153378","-0.00699209","0.00951015","-0.0118679","0.00796319","0.00146299","0.0102666","0.00100841","0.0153216","0.000775544","0.00218296","-4.36805e-06","0.00392241","-0.00569072","0.00887105","0.00490624","0.00278028","-0.00750403","0.0116408"
"6","-0.0112442","-0.00344976","-0.00152221","-0.0327413","-0.00599726","-0.0308792","0.00409111","-0.0197146","0.0145696","0.0844755","-0.00788502","-0.0194745","-0.00906241","-0.0239872","-0.0175772","-0.0219376","0.0104982","0.0837616","0.0442384","-0.0145684","-0.02437","-0.0082356","-0.00999285","-0.0252884","-0.0106943","-0.0239439","-0.00229643","0.0301278","-0.0550426","-0.0254386","0.0390838","0.0417884","-0.0156488","0.00403602","0.017573","0.0225424","-0.0208235","0.00300457","-0.00107462","-0.0094853","0.00487165","0.0772685","0.0616053","0.0745053","-0.00964395","-0.0250981","-0.00483909","0.0506248","0.117247","0.119831","-0.0324619","-0.0366045","0.0407033","-0.00912653","0.004859","-0.0130245","-0.0119377","0.0138629","0.0086885","0.00478298","-0.0247084","0.0175865","-0.0219027","-0.00815882","-0.00251131","0.0109627","0.0179925","-0.0147826","-0.00276627","-0.00139259","-0.0197035","-0.00565374","0.0218472","0.00660144","0.0482118","-0.0397495","0.00350945"
"7","0.0421352460980415","0.0458145812153816","-0.0394033305346966","0.0559597723186016","-0.0879443883895874","0.101811900734901","0.0598507560789585","-0.0679022371768951","0.0211660638451576","-0.0159163065254688","-0.121044650673866","0.0920539870858192","-0.0406442582607269","-0.0326769389212132","0.0832109004259109","-0.0606958866119385","-0.104094177484512","0.0295549277216196","-0.0177874099463224","-0.0469508096575737","-0.118503756821156","0.107430629432201","0.0248070154339075","0.0813115760684013","0.107638373970985","0.0576109811663628","-0.0723824873566628","0.0702893286943436","-0.0692451670765877","0.00630057230591774","-0.0480662323534489","-0.100468002259731","-0.0321170724928379","0.0380222760140896","-0.0829908549785614","-0.0640204176306725","0.0399483554065228","0.0392159335315228","0.0253317710012197","-0.0858960822224617","0.0255365092307329","-0.00811604410409927","0.0260105561465025","0.0921494364738464","-0.031348280608654","0.017201405018568","-0.0612055994570255","0.00988621916621923","-0.0172034669667482","0.0257481914013624","0.0876834541559219","-0.083330512046814","0.0146076055243611","-0.0491903573274612","0.0490130819380283","0.0701021626591682","-0.0697192624211311","0.0229914542287588","0.0933759585022926","0.0755300596356392","-0.042291272431612","-0.0963850691914558","0.11024121940136","0.114982701838017","-0.0881614983081818","-0.0830692499876022","-0.0883791670203209","0.0595781579613686","0.0136957466602325","0.102064892649651","-0.0105609958991408","-0.0943120047450066","-0.0597926303744316","0.0807122811675072","-0.0734155178070068","0.108363427221775","-0.0480393134057522"
"8","0.127060055732727","0.100032597780228","0.0959247201681137","-0.0499151535332203","-0.0916215926408768","-0.137350916862488","-0.0894224569201469","-0.0638593658804893","-0.0785579979419708","0.0300861783325672","-0.100763529539108","-0.0899572297930717","0.0374800227582455","0.104451909661293","-0.0743821635842323","-0.0332201197743416","-0.075801320374012","-0.0340370014309883","0.0312933027744293","-0.00294905225746334","-0.066355399787426","-0.0336048640310764","0.0788315087556839","-0.0355844162404537","-0.1148372143507","0.0355962552130222","-0.0638787224888802","-0.0706915855407715","0.0152958696708083","0.0344599448144436","0.0946952477097511","-0.108277700841427","0.0519984737038612","0.171560242772102","0.0312205776572227","0.00742608169093728","0.0102127762511373","-0.0448804385960102","-0.0615095570683479","-0.0442402623593807","-0.0326441302895546","0.0838947147130966","0.126858443021774","-0.0742124244570732","0.0187245644629002","-0.0278467070311308","0.0621684677898884","0.0107734827324748","0.135362729430199","0.147072046995163","0.00972841773182154","-0.0145471142604947","0.146087676286697","-0.0479910373687744","0.126880899071693","-0.0792210102081299","-0.0281927138566971","-0.044817715883255","-0.00199305568821728","0.0228236727416515","0.0230236388742924","-0.0875876769423485","-0.0309979245066643","-0.0566975027322769","-0.0306624956429005","0.0584373734891415","0.07060706615448","0.00256595876999199","0.144181177020073","-0.0835865065455437","0.0692364647984505","-0.0306291952729225","-0.0561809055507183","0.0985323488712311","-0.0528630018234253","-0.00667753210291266","-0.0614360123872757"
"9","-0.0308785922825336","-0.0503399148583412","0.226882860064507","0.0424398072063923","-0.0783246904611588","0.0693865567445755","-0.0351609960198402","0.176475048065186","0.0150639051571488","-0.120656475424767","-0.0380449071526527","0.082105815410614","0.0920625776052475","-0.0663368180394173","-0.0799503773450851","0.0633905902504921","0.061509408056736","0.0738243982195854","0.0385070480406284","-0.0116701740771532","-0.126232698559761","0.103600814938545","-0.0787322893738747","-0.0321850553154945","-0.0126968156546354","-0.0958217903971672","0.188894525170326","0.0252651963382959","-0.022466816008091","-0.0164705105125904","0.0262157078832388","0.0884431973099709","0.163748309016228","-0.032380223274231","0.144803494215012","0.00562502490356565","-0.00104868982452899","-0.0529278479516506","-0.00916289538145065","-0.0866567716002464","-0.0173879712820053","-0.0850193798542023","0.0392524339258671","0.018498295918107","-0.0662095099687576","-0.018092742189765","-0.15533858537674","-0.0393709093332291","-0.0488436557352543","-0.00736027304083109","0.20026159286499","-0.0583045445382595","-0.0276261530816555","0.14827872812748","0.099380224943161","-0.0569796413183212","-0.108996652066708","-0.0134063549339771","-0.0730331763625145","0.0344383716583252","-0.0898680984973907","-0.0310597196221352","-0.0195383206009865","-0.0384542569518089","0.0706344544887543","-0.0256497897207737","0.00623885914683342","-0.0030108920764178","0.0578514188528061","-0.0594362616539001","0.139454454183578","-0.115815721452236","-0.0586544796824455","-0.0647133514285088","-0.0786550492048264","-0.0509350150823593","-0.024209713563323"
"10","0.085322692990303","-0.0547762177884579","0.0777305066585541","-0.0337016470730305","-0.0889003500342369","-0.0872345194220543","0.0519426837563515","-0.0974171981215477","-0.0194653440266848","-0.0491040982306004","0.11967271566391","-0.00886143185198307","-0.0560505017638206","-0.213473573327065","-0.0207431633025408","-0.102236211299896","-0.00929470453411341","0.0364208184182644","0.104998581111431","0.155778437852859","0.0569311007857323","-0.00731997331604362","0.113891340792179","-0.109437502920628","-0.13880954682827","-0.0107063706964254","-0.0365045554935932","0.0138420853763819","0.158385261893272","0.0429835319519043","-0.0886416956782341","0.0497837103903294","-0.0645309835672379","0.132862582802773","0.0959250703454018","0.0736657306551933","-0.122653491795063","0.0116228330880404","0.0494652353227139","0.0374513268470764","0.169662192463875","-0.130017280578613","-0.101987853646278","0.113210044801235","-0.037943821400404","0.0164278503507376","-0.0162269100546837","0.0225548017770052","0.129356533288956","-0.0371841937303543","0.126054272055626","0.000323424697853625","-0.0925998315215111","-0.084227979183197","0.0416473187506199","-0.0362858399748802","-0.109464757144451","-0.0622992254793644","-0.0145257040858269","0.0886224508285522","-0.0836775451898575","0.0890160277485847","0.0719183757901192","0.0245419982820749","0.0108631085604429","0.0607245378196239","0.0719110444188118","-0.0858873575925827","-0.0370522327721119","0.0508824922144413","-0.164996653795242","0.0331520363688469","-0.0859858691692352","0.0146401552483439","-0.0772644281387329","0.0879837051033974","0.000272190023679286"
"11","0.0079431151971221","0.0370287224650383","-0.0171193704009056","0.0270113945007324","0.0902745798230171","0.0655166283249855","0.0717589631676674","0.132638052105904","-0.0385527350008488","-0.0620825923979282","0.0761841237545013","0.0409775450825691","0.00286465534009039","-0.103428483009338","-0.0364309325814247","0.0638425946235657","-0.103291437029839","-0.0822519958019257","-0.0721665844321251","-0.104029230773449","-0.0757228881120682","0.0561936572194099","-0.0249948054552078","0.00401724642142653","0.044003289192915","0.0568947792053223","-0.0236747451126575","0.0587943904101849","0.120924457907677","-0.168625980615616","-0.0610443688929081","-0.0869956612586975","-0.195884525775909","-0.0807082131505013","-0.0819268599152565","0.0115501452237368","-0.0398018136620522","0.0699433535337448","-0.035918902605772","-0.0309056732803583","-0.000831094977911562","-0.25762528181076","0.211017414927483","0.163720637559891","-0.0301930941641331","-0.0435032360255718","-0.0423163063824177","-0.0984859317541122","0.0465228520333767","0.144646257162094","-0.052508570253849","-0.0332740619778633","0.00273755751550198","0.012166066095233","0.153811559081078","-0.0400842353701591","0.14165161550045","-0.036783691495657","-0.0857682377099991","-0.139735355973244","0.00106748251710087","0.0447182133793831","-0.0103833433240652","-0.00744916778057814","-0.0310687031596899","0.126662939786911","0.0891946330666542","-0.0418713912367821","0.143197357654572","-0.0971909463405609","-0.0458472594618797","0.100768685340881","0.0272378996014595","0.0785069689154625","0.0617102347314358","-0.0294363703578711","0.0551074035465717"
